serial number / filename,whether marking method was dot or laser,0/1 : good quality/bad quality,DMC color,background color,major malformations present in image
serialNo,marking,difficulty,color_DMC,color_background,malformations
#D3FDPE01YB9NW0047XG505##1ZT4P5SH32,laser,1,white,blue,blur
#D3FDPE01YB9NW0047XG505##XF36NATM,laser,1,white,blue,none
0 12022091060008,laser,0,black,metal,none
0 12022091060009,laser,0,black,metal,none
0 12022091060032,laser,0,white,metal,small;contrast change
1D1165212740006,dot,0,dot,metal,dot malformation
1D1165212740007,dot,0,dot,metal,dot malformation
1G9V68937920005,laser,0,black,metal,none
1J6X17873720005,dot,0,dot,metal,none
1J6X17873720006,dot,0,dot,metal,none
1T9T86449480002,dot,1,dot,metal,small;blur
1Z9R91386400004,dot,1,dot,metal,small;blur;dot malformation
1Z9R91386400006,dot,0,dot,metal,small;blur;dot malformation
002-85381,laser,1,black,metal,none
002-85390,laser,0,black,metal,blur
002-92447,laser,0,black,metal,blur;small
002-92449,laser,1,black,metal,blur;small
2D3051889150004,dot,1,dot,metal,blur;small
2E2E15360620003,laser,0,black,metal,cover
2E2E15360620005,laser,0,black,metal,blur
2F8F9833201001,dot,1,dot,metal,dot malformation
2F8F9833201002,dot,1,dot,metal,dot malformation;small
2H8K25624150003,dot,1,dot,metal,blur;dot malformation
2H8K25624150004,dot,1,dot,metal,contrast change;dot malformation
2I0D73552420003,dot,0,dot,metal,blur
2I0D73552420007,dot,0,dot,metal,none
2J0L17962260003,dot,0,dot,metal,contrast change;blur
2J0L17962260005,dot,0,dot,metal,contrast change;blur
2R3J09063190005,dot,0,dot,metal,dot malformation
2R3J09063190006,dot,0,dot,metal,blur
2W3N43814040004,dot,0,dot,metal,dot malformation;blur
2W3N43814040006,dot,0,dot,metal,dot malformation
2X6H721553900142,dot,1,dot,metal,small;blur
2X6H721553900143,dot,1,dot,metal,small;blur
2Y3M008117220001,dot,0,dot,metal,dot malformation;blur
2Y3M008117220006,dot,1,dot,metal,dot malformation;blur
3Q7D93276280001,dot,0,dot,metal,dot malformation;contrast change;blur
3Q7D93276280006,dot,0,dot,metal,dot malformation;contrast change;blur
3T5V4015262003,dot,0,dot,metal,blur
3T5V4015262004,dot,0,dot,metal,blur
3W7S14572340003,dot,0,dot,metal,dot malformation;contrast change
3W7S14572340007,dot,1,dot,metal,dot malformation;contrast change;blur
4A1J56767480003,dot,1,dot,metal,blur;cover
4A1J56767480007,dot,1,dot,metal,blur;cover;dot malformation
4B9U53603750002,dot,1,dot,metal,blur
4B9U53603750004,dot,0,dot,metal,blur
4E0Z15828730001,dot,0,dot,metal,dot malformation
4E0Z15828730004,dot,1,dot,metal,dot malformation;blur;contrast change
4F1K99136940006,laser,0,black,metal,contrast change
4F1K99136940007,laser,0,black,metal,contrast change
4L4N04180280001,dot,1,dot,metal,dot malformation;
4L4N04180280003,dot,1,dot,metal,small;dot malformation
4O4A05318840011,laser,1,black,metal,blur
4O4A05318840017,laser,1,black,metal,blur
4P2A53596950003,dot,1,dot,metal,blur
4P2A53596950005,dot,1,dot,metal,blur
4P4M79724110003,dot,0,dot,metal,none
4P4M79724110007,dot,0,dot,metal,none
4P4Z69947180001,laser,0,black,metal,blur
4P4Z69947180001COPY,laser,1,black,metal,contrast change;small
4P4Z69947180006,laser,0,black,metal,blur
4P4Z69947180006COPY,laser,1,black,metal,small;blur
4S4T22854910006,laser,0,black,metal,none
4S4T22854910006COPY,laser,1,black,metal,none
4S4T22854910008,laser,0,black,metal,none
4S4T22854910008COPY,laser,0,black,metal,none
4T3V05658580005,dot,1,dot,metal,contrast change;dot malformation;
4T3V05658580006,dot,1,dot,metal,contrast change;dot malformation;
4X8N06520490071,laser,1,black,metal,contrast change;blur
4X8N06520490072,laser,1,black,metal,contrast change;blur
5B9G60364950004,dot,0,dot,metal,dot malformation;contrast change
5B9G60364950007,dot,0,dot,metal,contrast change
5E7I75080250005,dot,1,dot,metal,small;blur
5E7I75080250006,dot,1,dot,metal,small;blur
5J6H84561670007,dot,1,dot,metal,blur
5J6H84561670007COPY,dot,1,dot,metal,blur;contrast change;dot malformation
5K2S24378930002,dot,0,dot,metal,none
5M3C87037680004,dot,1,dot,metal,small;blur;dot malformation
5M3C87037680007,dot,1,dot,metal,dot malformation
5N9J62965140003,dot,0,dot,metal,none
5V0X43790080006,dot,0,dot,metal,contrast change;blur
5V0X43790080007,dot,1,dot,metal,none
5W1Y19366930001,dot,1,dot,metal,blur;small
5W1Y19366930003,dot,1,dot,metal,blur
5X5Z56902450007,dot,0,dot,metal,none
5X5256902450006,dot,0,dot,metal,dot malformation
5XZ524378930004,dot,0,dot,metal,none
5Y5V07497390002,dot,1,dot,metal,blur
5Y5V07497390009,dot,1,dot,metal,blur;dot malformation
5Z5D38986540002,dot,0,dot,metal,none
5Z5D38986540003,dot,0,dot,metal,none
6B2B77817110007,dot,1,dot,metal,dot malformation;small
6C5H09662630002,dot,0,dot,metal,dot malformation
6C5H09662630004,dot,0,dot,metal,dot malformation
6C5H09662630005,dot,1,dot,metal,dot malformation;contrast change
6C5H09662630007,dot,1,dot,metal,blur;cover
6U1S17156250002,dot,0,dot,metal,none
6U1S17156250005,dot,0,dot,metal,contrast change
6Z6108809700004,dot,1,dot,metal,dot malformation
6Z6108809700007,dot,0,dot,metal,dot malformation;contrast change
7B3T65127450001,dot,0,dot,metal,small
7B3T65127450005,dot,0,dot,metal,blur;small
7B9F67247520004,dot,1,dot,metal,blur;dot malformation;contrast change;small
7B9F67247520005,dot,1,dot,metal,blur;dot malformation;contrast change;small
7G3N32195580001,dot,0,dot,metal,none
7G3N32195580002,dot,0,dot,metal,none
7G6S34092730001,dot,1,dot,metal,blur;small
7G6S34092730004,dot,1,dot,metal,blur;dot malformation
7K7E03396420001,dot,0,dot,metal,contrast change;blur
7M0E73058140001,dot,0,dot,metal,contrast change
7M0E73058140002,dot,0,dot,metal,none
7M4N27556420001,dot,0,dot,metal,none
7M4N27556420005,dot,0,dot,metal,none
7P1Y22283170004,dot,0,dot,metal,dot malformation;blur
7T2S40000470002,dot,0,dot,metal,small;contrast change
7T2S40000470007,dot,0,dot,metal,small;contrast change
7W5R87439130006,dot,1,dot,metal,small;dot malformation;contrast change
7W5R87439130007,dot,1,dot,metal,small;dot malformation;contrast change
7Z1Q82791270005,dot,1,dot,metal,dot malformation;blur;small
7Z1Q82791270008,dot,1,dot,metal,dot malformation;blur;small
8M1B40562390006,laser,1,black,metal,blur
8M1B40562390018,laser,0,black,metal,contrast change;blur
8S0o80446110003,dot,0,dot,metal,small;blur
8S0o80446110006,dot,0,dot,metal,small;blur
8X6P20832560008,dot,0,dot,metal,blur
9A6A6192290006,dot,0,dot,metal,none
9A6A61992290003,dot,0,dot,metal,contrast change
9E4T59892670003,dot,0,dot,metal,small;dot malformation
9E4T59892670006,dot,0,dot,metal,small;dot malformation
9G7Q08437560002,laser,1,black,metal,contrast change
9G7Q08437560006,laser,1,black,metal,contrast change
9J5B48559290001,dot,1,dot,metal,contrast change;dot malformation
9J5B48559290007,dot,0,dot,metal,small;dot malformation
9K2Y77324050002,laser,0,black,metal,none
9K2Y77324050004,laser,0,black,metal,none
9K3Y35492870002,dot,0,dot,metal,blur;dot malformation
9K3Y35492870006,dot,1,dot,metal,contrast change
9L7N41049260002,dot,1,dot,metal,blur
9L7N41049260003,dot,0,dot,metal,small;blur
9VOM60115030002,dot,0,dot,metal,cover;blur
9VOM60115030005,dot,1,dot,metal,cover;blur
9VOM60115030007,dot,0,dot,metal,none
9Z1S67698450001,dot,1,dot,metal,blur;dot malformation
9Z1S67698450006,dot,0,dot,metal,blur;dot malformation
78K16488540002,dot,0,dot,metal,blur;contrast change
780K16488540001,dot,1,dot,metal,blur;contrast change
2501151902100 09,laser,0,black,white,cover
2501151902100 16,laser,0,black,white,none
2501152055300 06,laser,0,black,white,none
2501152055300 14,laser,0,black,white,small
2501152808400 08,laser,0,black,metal,none
2501152808400 10,laser,0,white,metal,none
012022081060006,laser,1,black,metal,small;blur;contrast change
012022090870003,laser,1,black,metal,blur;cover
012023030150002,laser,1,black,metal,blur;cover
012023030340002,laser,0,black,metal,blur
012023030340010,laser,1,black,metal,blur;cover
012023030970002,laser,0,black,metal,none
012023030990011,laser,1,black,metal,cover;contrast change
012023031560012,laser,1,black,metal,cover
012023032290019,laser,1,black,metal,cover
012023050650014,laser,0,black,metal,blur
012023050650022,laser,0,black,metal,contrast change
012023050860006,laser,0,black,metal,small;contrast change
012023051710003,laser,0,black,metal,small;contrast change;blur
012023051710013,laser,0,black,metal,contrast change;blur
012023051710020,laser,0,black,metal,small
012023061940006,laser,1,black,metal,blur;small
012023061940019,laser,0,black,metal,small
012305060000004,laser,0,black,metal,blur
012305060000019,laser,0,black,metal,none
28221227800009,laser,1,black,metal,small;blur
250115190140006,dot,0,dot,white,contrast change
250115190140012,dot,0,dot,white,contrast change
250115225260011,dot,1,dot,white,small;blur;contrast change;dot malformation
250115225260012,dot,1,dot,white,blur;contrast change
250115225710010,dot,1,dot,white,small;blur;dot malformation
250115225710016,dot,1,dot,white,small;blur;dot malformation
KV8INMEP,dot,1,dot,green,blur
KW8PXY3D,dot,1,dot,green,blur